id,disease_id,reference_id,created_at,updated_at
11853,692,30182,2021-04-28 02:10:51.025636,2021-04-28 02:10:51.025636
11854,39,30183,2021-04-28 02:11:06.994622,2021-04-28 02:11:06.994622
11855,66,30184,2021-04-28 02:11:22.472298,2021-04-28 02:11:22.472298
11856,466,30184,2021-04-28 02:11:24.834326,2021-04-28 02:11:24.834326
11857,46,30185,2021-04-28 02:11:44.289843,2021-04-28 02:11:44.289843
11858,677,30186,2021-04-28 02:12:00.186572,2021-04-28 02:12:00.186572
11859,244,30187,2021-04-28 02:12:48.472745,2021-04-28 02:12:48.472745
11860,141,30188,2021-04-28 02:13:00.790399,2021-04-28 02:13:00.790399
11861,450,30189,2021-04-28 02:13:03.920411,2021-04-28 02:13:03.920411
11862,352,30193,2021-04-28 02:13:24.114799,2021-04-28 02:13:24.114799
11863,869,30194,2021-04-28 02:13:26.680587,2021-04-28 02:13:26.680587
11864,804,16968,2021-04-28 02:13:26.950013,2021-04-28 02:13:26.950013
11865,155,2483,2021-04-28 02:13:37.334444,2021-04-28 02:13:37.334444
11866,699,30196,2021-04-28 02:14:50.637313,2021-04-28 02:14:50.637313
