head,relation,tail
icd11:1417231919,is_a,icd11:1024151204
icd11:1417231919,is_a,icd11:773281372
icd11:1662697317,is_a,icd11:482914030
icd11:2084659848,is_a,icd11:647260534
icd11:2006118762,is_a,icd11:1212361548
icd11:854229089,is_a,icd11:455894495
icd11:1372334918,is_a,icd11:1792394011
icd11:866313779,is_a,icd11:614401663
icd11:519985380,is_a,icd11:772982663
icd11:711006255,is_a,icd11:395565060
icd11:1373923223,is_a,icd11:1804498477
icd11:1352356285,is_a,icd11:709184369
icd11:236964647,is_a,icd11:900320365
icd11:936853768,is_a,icd11:2132057671
icd11:1959052636,is_a,icd11:1881966012
icd11:1992680275,is_a,icd11:1226313250
icd11:512037803,is_a,icd11:1135248720
icd11:2100525276,is_a,icd11:1056888958
icd11:100309320,is_a,icd11:283798099
icd11:1216262807,is_a,icd11:1883423833
icd11:125497870,is_a,icd11:1814010997
icd11:1310513714,is_a,icd11:1648535771
icd11:1072219751,is_a,icd11:1894744640
icd11:1003891398,is_a,icd11:2031932143
icd11:1073122714,is_a,icd11:55592470
icd11:2096158414,is_a,icd11:1894744640
icd11:931497373,is_a,icd11:2088802678
icd11:931497373,is_a,icd11:682520860
icd11:1174862381,is_a,icd11:1873247529
icd11:1665798650,is_a,icd11:1040820675
icd11:791115675,is_a,icd11:729749813
icd11:810545508,is_a,icd11:489508344
icd11:810545508,is_a,icd11:609177862
icd11:2097726656,is_a,icd11:666746193
icd11:1416059396,is_a,icd11:71488193
icd11:848253123,is_a,icd11:1937385304
icd11:1954386024,is_a,icd11:1233842528
icd11:1177406540,is_a,icd11:1295135613
icd11:1232629612,is_a,icd11:1388807162
icd11:1363503226,is_a,icd11:530229973
icd11:1249747893,is_a,icd11:141462889
icd11:1409892442,is_a,icd11:1166232738
icd11:1409892442,is_a,icd11:1520135105
icd11:1451924695,is_a,icd11:776465804
icd11:394490040,is_a,icd11:2131977134
icd11:394490040,is_a,icd11:1833969739
icd11:1405733502,is_a,icd11:69687028
icd11:934285556,is_a,icd11:1529361895
icd11:934285556,is_a,icd11:1298775237
icd11:554820588,is_a,icd11:59912591
icd11:258428739,is_a,icd11:1708277768
icd11:298483262,is_a,icd11:996549477
icd11:823052941,is_a,icd11:1313691675
icd11:28840266,is_a,icd11:1282358996
icd11:28840266,is_a,icd11:271310437
icd11:1821327003,is_a,icd11:1964995689
icd11:1199517264,is_a,icd11:1687046570
icd11:429584085,is_a,icd11:1772703008
icd11:302982382,is_a,icd11:107831914
icd11:677248556,is_a,icd11:410953318
icd11:677248556,is_a,icd11:947841641
icd11:1669369613,is_a,icd11:99883782
icd11:1669369613,is_a,icd11:1160279751
icd11:996390253,is_a,icd11:1156567558
icd11:1248995504,is_a,icd11:1644926300
icd11:786158619,is_a,icd11:1662614078
icd11:530424877,is_a,icd11:177035064
icd11:530424877,is_a,icd11:1568433303
icd11:408835699,is_a,icd11:610583617
